lon,lat,elevation,when,som,moisture,temp
142.1289074,-36.74324246,436.68,01-Apr-22,2.81,34.88,85.6
142.1317818,-36.74406773,424.54,01-Apr-22,2.655,35.23,76.9
142.1303592,-36.73588476,441.27,02-Apr-22,2.52,40.4,61.7
142.1282745,-36.74396784,437.01,01-Apr-22,3.13,36.25,84.4
142.1301542,-36.73912064,441.93,01-Apr-22,2.815,35.75,73.98
142.1297978,-36.73852656,442.59,01-Apr-22,2.795,38.02,72.3
142.126578,-36.73756494,442.26,02-Apr-22,2.815,38.75,61.98
142.1306749,-36.7442114,428.48,01-Apr-22,3.185,28.1,75.85
142.1277303,-36.73664024,442.26,02-Apr-22,2.715,40.1,59.6
142.1301584,-36.74671539,423.88,01-Apr-22,2.685,28.2,72.68
142.1267015,-36.74637036,424.21,01-Apr-22,2.46,27.52,70.93
142.1279266,-36.74142644,439.96,01-Apr-22,2.95,36.8,77.25
142.1254728,-36.73992974,438.98,01-Apr-22,3.055,34.23,67.98
142.1270374,-36.74055156,441.27,01-Apr-22,3.11,32.38,82.78
142.1344783,-36.74388286,416.01,01-Apr-22,1.73,32.4,74.13
142.1286142,-36.74092366,440.94,01-Apr-22,3.03,39.25,74.15
142.1306492,-36.74646636,424.21,01-Apr-22,2.665,30.3,73.73
142.1261849,-36.74111704,439.96,01-Apr-22,2.7,35.45,77.63
142.1327438,-36.73983826,426.84,01-Apr-22,2.865,32.0,81.13
142.1323689,-36.73657826,434.38,02-Apr-22,2.915,33.2,48.63
142.1290065,-36.73882786,442.26,01-Apr-22,2.92,38.58,72.08
142.127319,-36.74457444,427.17,01-Apr-22,2.47,31.35,76.85
142.1311714,-36.74553904,424.21,01-Apr-22,2.415,32.85,76.1
142.1276173,-36.74616176,425.2,01-Apr-22,2.405,29.05,75.13
142.1304487,-36.74362816,431.76,01-Apr-22,3.0,35.08,77.8
142.1317161,-36.74314596,425.2,01-Apr-22,2.69,30.63,80.88
142.1266812,-36.74266949,434.06,01-Apr-22,2.795,37.83,83.63
142.1251673,-36.74029096,435.04,01-Apr-22,3.095,36.05,70.6
142.1290964,-36.73685146,442.59,02-Apr-22,2.685,40.42,61.0
142.1313129,-36.73892456,440.62,01-Apr-22,2.85,38.63,80.0
142.1314501,-36.73789786,441.93,01-Apr-22,2.94,36.42,71.95
142.1255271,-36.74015176,437.66,01-Apr-22,2.985,35.25,72.53
142.1242247,-36.73870536,434.06,02-Apr-22,2.785,37.65,59.75
142.1300037,-36.74379766,433.73,01-Apr-22,2.89,33.92,79.73
142.1325854,-36.73941246,431.1,01-Apr-22,2.81,33.65,73.1
142.1282233,-36.74131364,439.96,01-Apr-22,2.905,34.17,77.75
142.1277532,-36.74343694,436.35,01-Apr-22,3.01,36.3,81.28
142.1306264,-36.74282936,432.09,01-Apr-22,2.895,35.3,79.0
142.1295588,-36.74493926,434.71,01-Apr-22,3.075,34.65,79.7
142.1273512,-36.73848776,442.91,02-Apr-22,2.7,36.83,59.83
142.1296021,-36.74613604,429.13,01-Apr-22,2.95,30.63,74.55
142.1290032,-36.74369044,436.35,01-Apr-22,3.065,36.73,83.35
142.1291639,-36.74581664,433.4,01-Apr-22,3.14,33.92,79.8
142.1348687,-36.74366685,416.01,01-Apr-22,2.025,35.5,83.1
142.1324381,-36.74457084,423.56,01-Apr-22,2.68,30.63,76.68
142.1244601,-36.73812966,436.02,02-Apr-22,3.08,36.55,60.68
142.1255172,-36.73772716,439.96,02-Apr-22,2.9,38.38,60.23
142.1293546,-36.73650824,442.26,02-Apr-22,2.775,39.35,61.8
142.1309586,-36.74100146,432.41,01-Apr-22,2.76,35.5,80.1
142.1294017,-36.73916336,441.93,01-Apr-22,2.985,39.02,71.25
142.1320704,-36.73498874,428.48,02-Apr-22,2.91,35.4,62.85
142.1266758,-36.74264146,436.02,01-Apr-22,2.685,32.02,71.6
142.1301849,-36.74008124,440.29,01-Apr-22,2.845,37.02,80.6
142.134793,-36.74367464,416.01,01-Apr-22,2.015,35.6,80.98
142.130204,-36.74372136,432.74,01-Apr-22,2.98,35.08,79.28
142.1257787,-36.74030174,439.63,01-Apr-22,3.065,37.75,67.78
142.1266925,-36.74503126,424.87,01-Apr-22,2.545,28.8,72.2
